id,labels.uz.value,labels.bs.value,labels.is.value,labels.sq.value,labels.tg.value,labels.mn.value,labels.zh-tw.value,labels.hi.value,labels.te.value,labels.gu.value,labels.ka.value,labels.kk.value,labels.lv.value,labels.bn.value,labels.kn.value,labels.et.value,labels.sl.value,labels.az.value,labels.ta.value
Q16165,Krotone,Crotone,Crotone,,Кротоне,Кротоне,克羅托內,क्रोटोन,క్రోటన్,ક્રોટોન,კროტონე,Кротоне,Krotone,ক্রটোন,ಕ್ರೊಟೊನೆ,Crotone,,Krotone,க்ரோடோன்
Q3718,,,,,,Дакар,達卡,डकर,,ડકાર,,,,,ಡಕರ್,,,,டகார்
Q16557,,,,,Даллас,Даллас,達拉斯,डलास,,ડલાસ,,,,,ಡಲ್ಲಾಸ್,,Dallas,,டலஸ்
Q3766,,,,,,,大馬士革,,డామస్కస్,દમાસ્કસ,,,,দামাস্কাস,,,,,டமஸ்கஸ்
Q1960,Dar es Salam,,,Dar es Salam,Дар Ассалом,Дар эс Салам,三蘭港,दार अस सलाम,దార్ ఎస్ సలామ్,દાર ઍસ સલામ,,Даруссалам,,দারুসসালাম,ದಾರ್ ಎಸ್ ಸಲಾಮ್,,,,தார் எஸ் ஸலாம்
Q11568,Darvin,Darwin,,Darvin,Дарвин,Дарвин,達爾文,,డార్విన్,ડાર્વિન,,Дарвин,,ডারউইন,ಡಾರ್ವಿನ್ ,,,,
Q1473,Davao shahri,Davao City,,Qyteti i Davaos,Шаҳри Давао ,Давао Хот,納卯市,डावाओ शहर,దావో నగరం,દવાઓ સિટી,,Давао,,ডাভাওসিটি,ಡಾವೊ ನಗರ,,Davao,Davao,டாவோ ஸிடி
Q11506,Denpasar,Denpasar,Denpasar,Denpasar,Денпосор,Денпасар,,,డెన్పాసర్,ડેનપાસાર,,Денпасар,Denpasara,ডেনপাসার,ದೆನ್ಪಸರ್,Denpasar,Denpasar,,டென்பஸார்
Q16554,,,,,Денвер,,丹佛,डेनवर,,ડેનવર,,,,,ಡೆನ್ವರ್,,Denver,,
Q12439,,,,,,,底特律,डैट्रोयट,,ડેટ્રોઇટ,,,,ডেট্রোয়েট,ಡೆಟ್ರಾಯಿಟ್,,,,டிட்ராய்ட்
Q1354,,,,Daka,,,達卡,,,,,,,,,,,,
Q184851,Diyego-Garsiya,Diego Garcia,Díego Garcia,,Диего-Гарсия,Диего Гарсиа,迪亞哥加西亞島,डिएगो गार्सिया,డిగో గార్సియా,ડીયેગો ગાર્સીયા,დიეგო გარსია,Диего-Гарсия,Djego Garsija,দিয়াগোগার্সিয়া,ಡೈಗೋ ಗಾರ್ಸಿಯ,,Diego Garcia,Dieqo-Qarsia,டியேகோ கார்ஸியா
Q3604,,,Djíbútí,,,Жибути,吉布地,जिबूटी,జిబోటి,જીબોટી,,Джибути,,,ಡಿಜಿಬೌಟಿ,,,,ஜிபூட்டி
Q3861,,,,,,,多哈,दोहा,దోహా,દોહા,,,,,ದೋಹಾ,Doha,,,தோஹா
Q132830,Duala,Douala,,Duala,Дуала,Дуала,,डुओला,దౌవాలా,ડોઆલા,დუალა,Дуала,,দোয়ালা,ದೌಲಾ,,,,டுஆலா
Q612,,,Dúbai,,Дубай,Дубай,杜拜,,,દુબઈ,,,,,ದುಬೈ,,,,
Q1761,,,,,,,都柏林,,,ડબલિન,,,,,,,,,
Q9365,,,Dúsjanbe,,,,杜尚貝,,,દુશંબે,,,,দুশানবে,ದುಶಂಬೆ,,,,துஷாம்பே
Q14452,,,,,Ҷазираи Истер ,,復活節島,ईस्टर द्वीप,,ઈસ્ટર આઈલેન્ડ,,Пасха аралы,,ইস্টারদ্বীপপুঞ্জ,ಈಸ್ಟರ್ ದ್ವೀಪ,,,,ஈஸ்டர் ஐலன்ட்
Q23436,,,,,Эдинбург,,,एडिनबर्ग,ఎడిన్బర్గ్,એડિનબર્ગ,,,,,,,,,
Q16562,,El Paso,,,Эл Пасо,Эль-Пасо,艾爾帕索,अल पासो,ఎల్ పాసో,ઍલ પાસો,,Эль-Пасо,,এল পাসো,ಎಲ್ ಪಾಸೋ,,El Paso,,எல் பாஸோ
Q175057,Fernandu di Noronya,Fernando de Noronha,,Fernando i Noronës,Фернанду ди Нороня,Фернандо де Норонья,,फर्नांडो-डी-नोरोन्हा,ఫెర్నాండో డి నోరోన్య,ફર્નાન્ડો ડે નોરોન્હા,,Фернанду-ди-Норонья,Fernandu di Noronja,ফার্নান্ডোডিনরোনহা,ಫೆರ್ನಾಂಡೋ ಡಿ ನೊರೊನ್ಹಾ ,Fernando de Noronha,Fernando de Noronha,,ஃபர்நேண்டோ டி நோரோஞா
Q2044,,,Flórens / Fagurborg,Firence,Флоренсия,,,,,ફ્લોરેન્સ,,,,,ಫ್ಲೋರೆನ್ಸ್ ,,,,ஃப்ளோரன்ஸ்
Q81621,Fort de Frans,,,Fort de Franc,Фор-де-Франс,Форт-де-Франс,法蘭西堡,फोर्ट-डी-फ़्रांस,ఫోర్ట్ డి ఫ్రాన్స్,ફોર્ટ-ડે-ફ્રાંસ,,,,ফোর্ট-ডি-ফ্রান্স,ಫೋರ್ಟ್ ಡಿ ಫ್ರಾನ್ಸ್,,,,ஃபோர்ட்-டி-ஃப்ரான்ஸ்
Q3780,,,,Fritaun,,Фритаун,,,ప్రీటౌన్,ફ્રીટાઉન,ფრითაუნი,Фритаун,,,,,,,ஃப்ரீடவுன்
Q68481,Fuchjou,Fuzhou,Fuzhou,Fuzhou,Фужоу,Фужоу,福州,फुझोऊ,ఫూచో,ફયૂઝો,ფუჯოუ,Фучжоу,,ফুজহৌ,ಫುಝೌ,Fuzhou,,Fucou,ஃபூஜோ
Q3919,,,,,,Габороне,嘉柏隆里,गबोरोनी,గాబరోనె,ગૅબરોન,,Габороне,,গ্যাবোরোন,ಗೆಬರೋನ್,,,,காபோரோனே
Q38095,Galapagos orollari,,,,Ҷазираҳои Галапагос,Галапагосын Арлууд,加拉巴哥群島,गैलापागोस द्वीपसमूह,గాలాపాగోస్ దీవులు,ગેલાપાગોસ આઈલેન્ડ,,,,,ಗಲಾಪಗೋಸ್ ದ್ವೀಪಗಳು,,,,கலபகோஸ் ஐலன்ட்ஸ்
Q71,,,,,,,,,జెనీవా,જિનેવા,,,,,,,,,
Q1449,Genuya,,,,,,熱那亞,,జెనోవా,જેનોઆ,,,,জেনোয়া,ಜಿನೋವಾ ,,,,ஜெநோஆ
Q10717,Jorjtaun,,,Xhorxhtaun,Ҷорҷтаун,Жоржтаун,喬治城大學,,,જ્યોર્જટાઉન,ჯორჯთაუნი,Джорджтаун,,জর্জটাউন,ಜಾರ್ಜ್‌ಟೌನ್,,Georgetown,Corctaun,"ஜார்ஜ்டவுன், கயானா"
Q185672,Gryutviken,,,Grytviken,Грутвикен,Гритвикен,,ग्रित्विकेन,గ్రిట్వికెన్,ગ્રીટવિકન,გრიტვიკენი,Грютвикен,Grītvīkena,গ্রিটভিকেন,ಗ್ರಿಟ್ವಿಕೆನ್ ,,Grytviken,,க்ரிட்விகென்
Q16635,,,,Guam,,Гуам,關島,गुआम,గువామ్,ગુઆમ,,,,,ಗುವಾಮ್‌‌‌‌ ,,,,
Q16572,,,,,Гуанчжоу,,廣州,,గాంజో,ગ્વાંગજ્હો,,,,গুয়াংঝৌ,ಗುವಾಂಗ್‌ಝೌ,,,Quanqcou,க்வாங்ஜோ
Q1555,,,,,Шаҳри Гуатемала,Гватемал Хот,,ग्वाटेमाला शहर,,ગ્વાટેમાલા સિટી,,Гватемала,,,ಗ್ವಾಟೆಮಾಲ ನಗರ,,Gvatemala,,க்வாத்மலா ஸிடி
Q34112,Gustaviya,,,Gustavia,Густавия,Густавиа,居斯塔維亞,गुस्ताविया,గుస్టావియా,ગુસ્ટાવિઆ,,Густавия,Gustavija,গুস্তভিয়া,ಗುಸ್ಟಾವಿಯಾ,,Gustavia,,கஸ்டாவியா
Q189823,Xaykou,Haikou,Haikou,Haikou,Ҳайкоу,Хайкоу,,,హైకోవ్,હાઈકૌ,ჰაიკოუ,Хайкоу,Haikou,হাইকৌ,ಹೈಕೌ,Haikou,Haikou,Haykou,ஹைகோ
Q2141,Galifaks,,,Halifaks,Ҳалифакс,Халифакс,哈里法克斯,हालीफैक्स,హాలిఫాక్స్,હેલિફેક્સ,,Галифакс,,হ্যালিফ্যাক্স,ಹೆಲಿಫ್ಯಾಕ್ಸ್,,,,ஹெலிஃபக்ஸ்
Q1055,Gamburg,,,,Ҳамбург,,漢堡,,,હેમ્બર્ગ,,,,,ಹ್ಯಾಂಬರ್ಗ್ ,,,,ஹெம்பெர்க்
Q4970,Xanchjou,Hangzhou,Hangzhou,Hangzhou,Ҳангжоу,,杭州市,,హాంజో,હૅંગજ઼્યૂ,ჰანჯოუ,Ханчжоу,,হ্যানঝৌ,ಹ್ಯಾಂಗ್‌‌‌ಝೌ,,,Hançjou,ஹாங்ஃஜௌ
Q1858,,,,,,,河內,,,હનોઈ,,,,,ಹನೊಯ್,,,,
Q3921,,,,,Ҳараре,,哈拉雷,,హరారే,હરારે,,,,,ಹರಾರೆ,,,,
Q42956,Xarbin,Harbin,Harbin,Harbin,Ҳарбин,,哈爾濱市,,హార్బిన్,હાર્બિન,ჰარბინი,Харбин,,হার্বিন,ಹರ್ಬಿನ್,,,,ஹார்பின்
Q1563,,,,,,,哈瓦那,,,હવાના,,,,,ಹವಾನಾ,,,,ஹவனா
Q782,,,Hawaii / Havaí / Hawaí,Hauai,Ҳаваий,,夏威夷州,,,હવાઈ,ჰავაი,,,,,,,,ஹவாயி
Q1757,,,,,,Хельсинки,,,,હેલસિંકી,,,,,,,,,ஹெல்ஸின்கி
Q1854,,,,Qyteti Ho Çi Min,Шаҳри Ҳошимин,,胡志明市,हो ची मिन्ह शहर,హోచిమిన్ సిటీ,હો ચી મિન સિટી,ჰოშიმინი,,,,ಹೊ ಚಿ ಮಿನ್ ನಗರ,,,,ஹோ சி மின் ஸிடி
Q40191,Xobart,Hobart,,Hobart,Ҳобарт,,霍巴特市,,హోబార్ట్,હોબાર્ટ,,,,,ಹೊಬಾರ್ಟ್,,,,
Q8646,Gonkong,,,,Ҳонконг,,,,,હોંગ કોંગ,,,,,ಹಾಂಕಾಂಗ್,,,,ஹாங்காங்
Q18094,,,,,Ҳонолулу,,檀香山,,హోనోలూలు,હોનોલુલુ,,Гонолулу,,হনলুলু,,,Honolulu,,ஹானலூலூ
Q16555,Xyuston,,,Hjuston,Ҳюстон,,休士頓,ह्यूस्टन,,,,,,,‍ಹ್ಯೂಸ್ಟನ್,,Houston,,
Q1361,,Hyderabad,,Hiderabad,Ҳайдаробод,Хайдерабад,海德拉巴,,,,,Хайдарабад,,হায়দ্রাবাদ,ಹೈದರಾಬಾದ್‌,Hyderabad,Hyderabad,,ஹைதெராபாத்
Q6346,,,,,Сан-Паулу,,印第安納波利斯,,ఇండియానాపోలిస్,ઇન્ડિયાનાપોલિસ,,,,ইন্ডিয়ানাপলিস,ಇಂಡಿಯಾನಾಪೊಲೀಸ್,,Indianapolis,,இண்டியனாபலிஸ்
Q6576,,,Írkútsk,,Санкт-Петербург,,伊爾庫次克,,ఇర్కూట్స్క్,ઈરકુત્સ્ક,,Иркутск,,ইরকুটস্ক,ಇರ್ಕುಟ್ಸ್ಕ್,,,,இர்கூட்ஸ்க்
Q1362,,,,,,,,,,,,,Islamabada,,,Islamabad,,,இஸ்லமாபாத்
Q406,,,,,Истанбул,,,,,ઈસ્તાંબુલ,,,,ইস্তাম্বুল,,Istanbul,,,இஸ்தான்புல்
Q5426,,Izhevsk,Ízhevsk,Izhevsk,Ижевск,,伊熱夫斯克,ईज़िएव्स्क,ఇజీస్క్,ઇઝાસ્ક,,Ижевск,,ইজহেভস্ক,ಇಝೆವ್ಸ್ಕ್,,,,இஸெஃப்ஸ்க்
Q3630,,,,,Ҷакарта,,雅加達,,,જકાર્તા,,,,,ಜಕಾರ್ಟ,,,,
Q374365,Jidda,,,,Ҷидда,Жедда,吉達,,జెడ్డా,જેદ્દા,,,,,ಜೆಡ್ಡಾ,,Džeda,,ஜெட்டா
Q1218,,,,,Иерусалим,,耶路撒冷,,,જેરુસલેમ,,,,,ಜೆರುಸಲೇಮ್,,,,ஜெருஸெலம்
Q170247,Sinan,Jinan,Jinan,,Ҷинан,,,जिनान,జినాన్,જિનાન,ცინანი,Цзинань,,জিনান,ಜಿನಾನ್,,Jinan,Çzinan,ஜினான்
Q34647,,,,Johanesburg,Йоҳаннесбург,Йоханнесбург,約翰尼斯堡,,జోహాన్స్బర్గ్,જોહાનિસબર્ગ,,,,জোহানেসবার্গ,ಜೊಹಾನ್ಸ್‌ಬರ್ಗ್‌,,,,ஜொஹன்னஸ்பர்க்
Q5838,,,,,,,喀布爾,,,કાબુલ,,,,,,,,,
Q1829,,,,Kaliningrad,Калининград,,加里寧格勒,कलीनिनग्राद,కలినింగ్రాద్,કેલિનિનગ્રાદ,,,,,,,,,களினின்கிரட்
Q7948,,,Kamtsjatka - skagi,Kamçatka Krai,Кишвари Камчатка,Камчаткын Хязгаар,堪察加邊疆區,कमचटका क्राय,కమ్చత్కా క్రాయ్,કામચાટ્કા ક્રાઇ,,Камчатка аймағы,,কামচাটকাক্রাই,ಕಂಚಟ್ಕಾ ಕ್ರಾಯಿ,,Kamčatski kraj,,கம்ச்சத்க க்ரெய்
Q3894,,,,,,Кампала,坎帕拉,,కంపాలా,કંપાલા,,Кампала,,কাম্পালা,ಕಂಪಾಲಾ,,,,
Q8660,Karachi,,,Karaçi,Карачи,,喀拉蚩,,,,,,Karači,করাচি,,,,Karaçi,
Q3037,,,,Katmandu,,,加德滿都,,ఖాట్మండూ,,,,,,,,,,காட்மண்டு
Q4454,,,Khabarovsk,Kabarovsk,Хабаровск,,伯力,खबारोव्स्क,ఖబారోస్క్,ખાબરોવસ્ક,ხაბაროვსკი,Хабаровск,,খাবারোভস্ক,ಖಬರೋವ್ಸ್ಕ್,,,Xabarovsk,கபரஃப்ஸ்க்
Q42308,,,Kharkív,Karkiv,Харков,,,खार्किव,ఖార్కివ్,ખારકીવ,,,,খারকিভ,ಖಾರ್ಕಿವ್,,,,
Q1963,,,,Kartum,,Хартум,喀土木,,ఖార్టోమ్,ખાર્તૂમ,,Хартум,,,‍ಖಾರ್ಟ್ಯೂಮ್,,,,
